name	cursorGraphic	uniqueBaseItem	minLevel	value	power0	power0.value1	power0.value2	power1	power1.value1	power1.value2	power2	power2.value1	power2.value2	power3	power3.value1	power3.value2	power4	power4.value1	power4.value2	power5	power5.value1	power5.value2
Inferno		LONGSWR	17	34600	FIREDAM	2	12	LIGHT	3	3	MANA	20	20	FIRERES	80	80						
DoomBringer		BASTARDSWR	20	180000	TOHIT	99	99	DAMP	175	175	FASTATTACK	4	4	TARGAC	1	1	LIGHT_CURSE	1	1			
The Guilty	THE_GRIZZLY	TWOHANDSWR	29	240000	TOHIT	80	80	DAMP	150	150	DAMMOD	20	20	FASTATTACK	3	3	TARGAC	3	3			
The GrandBrother	THE_GRANDFATHER	GREATSWR	28	200000	ONEHAND			TOHIT	25	25	DAMP	100	100	FASTATTACK	2	2	TARGAC	2	2			
The Mangler	AXE	LARGEAXE	2	2850	DAMP	200	200	DEX_CURSE	5	5	MAG_CURSE	5	5	MANA_CURSE	10	10						
Sharp Beak	GREAT_AXE	LARGEAXE	2	2850	LIFE	20	20	MAG_CURSE	10	10	MANA_CURSE	10	10									
Bloodslayer	AXE	BROADAXE	3	2500	DAMP	100	100	3XDAMVDEM			ATTRIBS_CURSE	5	5	SPLLVLADD	-1	-1						
The Celestial Axe		BATTLEAXE	4	14100	NOMINSTR			TOHIT	15	15	LIFE	15	15	STR_CURSE	15	15						
Wicked Axe	GREAT_AXE	LARGEAXE	5	31150	TOHIT	30	30	DEX	10	10	VIT_CURSE	10	10	GETHIT	1	6	INDESTRUCTIBLE					
Stonecleaver	STONECLEAVER	BROADAXE	7	23900	LIFE	30	30	TOHIT	20	20	DAMP	50	50	LIGHTRES	40	40						
Aguinara's Hatchet		SMALLAXE	12	24800	SPLLVLADD	1	1	MAG	10	10	MAGICRES	80	80									
Hellslayer		BATTLEAXE	15	26200	STR	8	8	VIT	8	8	DAMP	100	100	LIFE	25	25	MANA_CURSE	25	25			
Messerschmidt's Reaver	MESSERSCHMIDTS_REAVER	GREATAXE	25	58000	DAMP	200	200	DAMMOD	15	15	ATTRIBS	5	5	LIFE_CURSE	50	50	FIREDAM	2	12			
Crackrust		MACE	1	11375	ATTRIBS	2	2	INDESTRUCTIBLE			ALLRES	15	15	DAMP	50	50	SPLLVLADD	-1	-1			
Conlan;s Hammer		MAUL	10	8700	ONEHAND			NOMINSTR			TOHIT	25	25	DAMMOD	14	10						
Civerb's Cudgel		MACE	1	2000	3XDAMVDEM			DEX_CURSE	5	5	MAG_CURSE	2	2									
The Celestial Star		FLAIL	2	7810	NOMINSTR			LIGHT	2	2	DAMMOD	10	10	AC_CURSE	8	8						
Baranar's Star		MORNSTAR	5	6850	TOHIT	12	12	DAMP	80	80	FASTATTACK	1	1	VIT	4	4	DEX_CURSE	4	4	SETDUR	60	60
Gnarled Root		SPIKCLUB	9	9820	TOHIT	20	20	DAMP	300	300	DEX	10	10	MAG	5	5	ALLRES	10	10	AC_CURSE	10	10
The Cranium Basher		MAUL	12	36500	DAMMOD	20	20	STR	15	15	ALLRES	5	5	MANA_CURSE	150	150						
Schaefer's Hammer		WARHAMMER	16	56125	DAMP_CURSE	100	100	LIGHTDAM	1	50	LIFE	50	50	TOHIT	30	30	LIGHTRES	80	80	LIGHT	1	1
Dreamflange		MACE	26	26450	MAG	30	30	MANA	50	50	MAGICRES	50	50	LIGHT	2	2	SPLLVLADD	1	1			
Staff of Shadows		LONGSTAFF	2	1250	MAG_CURSE	10	10	TOHIT	10	10	DAMP	60	60	LIGHT_CURSE	2	2	FASTATTACK	1	1			
Immolator		LONGSTAFF	4	3900	FIRERES	20	20	FIREDAM	4	4	MANA	10	10	VIT_CURSE	5	5						
Storm Spire		WARSTAFF	8	22500	LIGHTRES	50	50	LIGHTDAM	2	8	STR	10	10	MAG_CURSE	10	10						
Gleamsong		SHORTSTAFF	8	6520	MANA	25	25	STR_CURSE	3	3	VIT_CURSE	3	3	SPELL	10	76						
Thundercall		COMPSTAFF	14	22250	TOHIT	35	35	LIGHTDAM	1	10	SPELL	3	76	LIGHTRES	30	30	LIGHT	2	2			
The Protector	THE_PROTECTOR	SHORTSTAFF	16	17240	VIT	5	5	GETHIT	5	5	SETAC	40	40	SPELL	2	86	THORNS	1	3			
Naj's Puzzler		LONGSTAFF	18	34000	MAG	20	20	DEX	10	10	ALLRES	20	20	SPELL	23	57	LIFE_CURSE	25	25			
Mindcry		QUARSTAFF	20	41500	MAG	15	15	SPELL	13	69	ALLRES	15	15	SPLLVLADD	1	1						
Rod of Conan		QUARSTAFF	22	44167	SPELL	21	50	DAMP	100	100	STR	15	15	DEX	15	15	VIT_CURSE	30	30			
Helm of Spirits	HELM_OF_SPIRITS	HELM	1	7525	STEALMANA	5	5	MANA	20	20												
Thinking Cap	HARLEQUIN_CREST	SKULLCAP	6	2020	MANA	30	30	SPLLVLADD	2	2	ALLRES	20	20	SETDUR	1	2						
OverLord's Helm	OVERLORDS_HELM	HELM	7	12500	STR	20	20	DEX	15	15	VIT	5	5	MAG_CURSE	20	20	SETDUR	15	15			
Fool's Crest	FOOLS_CREST	HELM	12	10150	ATTRIBS_CURSE	4	4	LIFE	100	100	GETHIT_CURSE	1	6	THORNS	1	3						
GotTheDangerThing	GOTHIC_PLATE	GothicPlate	21	200000	ATTRIBS	20	20	GETHIT	4	4	MAGICRES_CURSE	50	50	LIGHTRES_CURSE	50	50	FIRERES_CURSE	50	50	LIGHT_CURSE	4	4
Royal Circlet	ROYAL_CIRCLET	CROWN	27	24875	ATTRIBS	10	10	MANA	40	40	SETAC	40	40	LIGHT	1	1						
Torn Flesh of Souls	TORN_FLESH_OF_SOULS	RAGS	2	4825	SETAC	8	8	VIT	10	10	GETHIT	1	1	INDESTRUCTIBLE								
The Gladiator's Gain	STUDDED_LEATHER_ARMOR	STUDARMOR	20	15000	ALLRES	10	10	DAMMOD	10	10	MANA_CURSE	20	20	LIGHT	1	1	FASTRECOVER	2	2			
The Rainbow Cloak	THE_RAINBOW_CLOAK	CLOAK	2	4900	SETAC	10	10	ATTRIBS	1	1	ALLRES	10	10	LIFE	5	5	DUR	50	50			
Leather of Odd		LEATHARMOR	8	25000	ALLRES	15	15	GETHIT	2	2	FASTATTACK	1	1	FASTRECOVER	2	2						
Wisdom's Wrap	THE_RAINBOW_CLOAK	ROBE	5	6200	MAG	5	5	MANA	10	10	LIGHTRES	25	25	SETAC	15	15	GETHIT	1	1			
Sparkling Mail		CHAINMAIL	18	40000	SETAC	25	25	LIGHTRES	20	20	LIGHT	1	1	LIGHTDAM	2	10						
Scavenger Carapace		BREASTPLATE	13	14000	GETHIT	15	15	AC_CURSE	20	20	DEX	5	5	LIGHTRES	40	40						
Naj's Robe	ROBE	ROBE	20	96000	SETAC	15	15	ALLRES	35	35	SPLLVLADD	1	1	FASTRECOVER	2	2						
Holy Light Plate	NAJS_LIGHT_PLATE	PLATEMAIL	24	240000	ALLRES	30	30	ATTRIBS	10	10	GETHIT	4	4	FASTRECOVER	3	3						
Demonspike Coat		FULLPLATE	25	251175	SETAC	100	100	GETHIT	6	6	STR	10	10	FIRERES	50	50						
The Deflector		BUCKLER	8	9000	ALLRES	10	10	GETHIT	1	1	FASTBLOCK	1	1									
Split Skull Shield	SPLIT_SKULL_SHIELD	BUCKLER	1	2025	SETAC	10	10	LIFE	10	10	STR	2	2	LIGHT_CURSE	1	1	SETDUR	15	15			
Dragon's Breach	DRAGONS_BREACH	KITESHIELD	2	19200	FIRERES	25	25	STR	5	5	SETAC	20	20	MAG_CURSE	5	5						
BlackOak Shield	BLACKOAK_SHIELD	SMALLSHIELD	16	30000	DEX	15	15	MAGICRES	15	15	LIGHTRES	15	15	LIGHT_CURSE	1	1	DUR	72	72			
Holy Defender	BLACKOAK_SHIELD	LARGESHIELD	10	13800	SETAC	15	15	GETHIT	2	2	FIRERES	20	20	DUR	120	120	FASTBLOCK	1	1			
StormShield	GOTHIC_SHIELD	GOTHSHIELD	24	49000	SETAC	40	40	LIGHTRES	30	30	FASTBLOCK	1	1	DUR	120	120						
Bramble	BRAMBLE	RING	1	1000	ATTRIBS_CURSE	2	2	DAMMOD	3	3	MANA	10	10									
Ring of Regha	RING_OF_REGHA	RING	1	4175	MAG	10	10	MAGICRES	10	10	LIGHT	1	1	STR_CURSE	3	3	DEX_CURSE	3	3			
The Bleeder	THE_BLEEDER	RING	2	8500	MAGICRES	20	20	MANA	30	30	LIFE_CURSE	10	10									
Constricting Ring	CONSTRICTING_RING	RING	5	62000	ALLRES	75	75	DRAINLIFE														
Ring of Engagement	RING_OF_ENGAGEMENT	RING	11	12476	GETHIT	1	2	THORNS	1	3	SETAC	5	5	TARGAC	2	2						
